"year","fips_state","state_code","state_name","poverty_rate","poverty_rate_moe","poverty_count","poverty_count_moe","poverty_universe","median_hh_income","median_hh_income_moe"
"2017","53","WA","Washington",0.11,0.002,799675,17872,7273730,70942,573
"2018","53","WA","Washington",0.103,0.002,761941,16410,7400548,74023,680
"2019","53","WA","Washington",0.098,0.003,731216,18924,7470209,78674,898
"2020","53","WA","Washington",0.095,0.003,714653,22581,7547558,80319,985
"2021","53","WA","Washington",0.099,0.002,755589,16967,7599990,84155,833
"1989","54","WV","West Virginia",0.172,0.0085,306227,14566,,22542,1086
"1993","54","WV","West Virginia",0.217,0.013,394859,23354,,23250,1178
"1995","54","WV","West Virginia",0.199,0.0115,362594,20826,,25354,1393
"1996","54","WV","West Virginia",0.199,0.0125,359999,23517,,25760,1609
"1997","54","WV","West Virginia",0.168,0.0135,302521,23721,,27432,1539
"1998","54","WV","West Virginia",0.168,0.011,303649,19760,1804828,28460,1722
"1999","54","WV","West Virginia",0.163,0.011,290195,19855,1779635,30108,1366
"2000","54","WV","West Virginia",0.155,0.009,273986,15685,1765944,30187,1660
"2001","54","WV","West Virginia",0.167,0.0085,295753,15518,1767897,31156,1534
"2002","54","WV","West Virginia",0.161,0.009,286838,16121,1779404,30695,1668
"2003","54","WV","West Virginia",0.163,0.009,290221,16141,1782738,32967,1470
"2004","54","WV","West Virginia",0.162,0.011,288835,19415,1785918,33993,1508
"2005","54","WV","West Virginia",0.18,0.0045,317957,8200,1763841,33466,730
"2006","54","WV","West Virginia",0.176,0.0045,310842,7821,1771004,35028,584
"2007","54","WV","West Virginia",0.171,0.0045,302169,7454,1763479,37057,709
"2008","54","WV","West Virginia",0.174,0.005,308064,8560,1767432,37528,972
"2009","54","WV","West Virginia",0.178,0.0045,316155,7979,1771531,37423,667
"2010","54","WV","West Virginia",0.182,0.005,327459,8612,1799951,38241,806
"2011","54","WV","West Virginia",0.187,0.005,336658,9102,1802688,38587,817
"2012","54","WV","West Virginia",0.18,0.005,323978,8919,1801127,40188,668
"2013","54","WV","West Virginia",0.184,0.005,331674,8797,1798289,41195,718
"2014","54","WV","West Virginia",0.183,0.005,328734,8383,1793046,41030,631
"2015","54","WV","West Virginia",0.18,0.005,322589,9188,1793098,41969,769
"2016","54","WV","West Virginia",0.179,0.005,318368,9137,1779953,43175,1040
"2017","54","WV","West Virginia",0.185,0.005,326502,9627,1762557,43238,1263
"2018","54","WV","West Virginia",0.174,0.005,305656,9423,1753457,44038,967
"2019","54","WV","West Virginia",0.162,0.005,281175,9249,1739027,48659,1090
"2020","54","WV","West Virginia",0.158,0.005,274176,9473,1734091,49202,1125
"2021","54","WV","West Virginia",0.168,0.005,291051,8997,1734924,51122,1063
"1989","55","WI","Wisconsin",0.096,0.0045,465877,23299,,29101,1156
"1993","55","WI","Wisconsin",0.109,0.0095,550361,46493,,32200,1270
"1995","55","WI","Wisconsin",0.089,0.006,454274,31564,,37572,1736
"1996","55","WI","Wisconsin",0.087,0.0085,447899,45467,,38598,2096
"1997","55","WI","Wisconsin",0.092,0.0095,478698,50081,,39800,1828
"1998","55","WI","Wisconsin",0.089,0.0095,462809,49803,5228679,42169,1883
"1999","55","WI","Wisconsin",0.084,0.009,442421,46708,5274076,43301,1557
"2000","55","WI","Wisconsin",0.081,0.0065,430657,32727,5288965,44503,1810
"2001","55","WI","Wisconsin",0.081,0.006,429673,31134,5319624,45435,1456
"2002","55","WI","Wisconsin",0.085,0.0065,455846,34892,5372665,45377,1739
"2003","55","WI","Wisconsin",0.089,0.0065,482817,34723,5398625,46538,1435
"2004","55","WI","Wisconsin",0.109,0.009,590365,48519,5429778,46142,1462
"2005","55","WI","Wisconsin",0.102,0.002,547648,11685,5355151,47141,384
"2006","55","WI","Wisconsin",0.109,0.0025,589377,12896,5401380,48784,427
"2007","55","WI","Wisconsin",0.108,0.0025,589168,13014,5447277,50567,358
"2008","55","WI","Wisconsin",0.105,0.0025,573574,13078,5474002,52103,354
"2009","55","WI","Wisconsin",0.124,0.0025,682973,14178,5495799,49994,396
"2010","55","WI","Wisconsin",0.132,0.002,731564,13674,5535787,48974,482
"2011","55","WI","Wisconsin",0.131,0.003,728099,15635,5554320,50401,420
"2012","55","WI","Wisconsin",0.132,0.002,738226,13021,5573135,51063,318
"2013","55","WI","Wisconsin",0.135,0.002,753709,13530,5593184,51474,366
"2014","55","WI","Wisconsin",0.132,0.002,737307,13965,5603483,52632,426
"2015","55","WI","Wisconsin",0.121,0.002,679937,13013,5620187,55623,424
"2016","55","WI","Wisconsin",0.118,0.003,661465,14157,5628526,56808,539
"2017","55","WI","Wisconsin",0.113,0.002,640174,13108,5645158,59300,575
"2018","55","WI","Wisconsin",0.111,0.002,626748,13569,5665101,60779,387
"2019","55","WI","Wisconsin",0.104,0.002,591404,13374,5675545,64177,593
"2020","55","WI","Wisconsin",0.1,0.003,571049,16696,5689268,64901,625
"2021","55","WI","Wisconsin",0.108,0.002,622948,12293,5754791,67150,601
"1989","56","WY","Wyoming",0.116,0.006,52107,2579,,29724,1355
"1993","56","WY","Wyoming",0.119,0.0095,56753,4650,,28954,1235
"1995","56","WY","Wyoming",0.115,0.0085,55171,4150,,30673,1526
"1996","56","WY","Wyoming",0.111,0.0095,52907,4661,,31173,1825
"1997","56","WY","Wyoming",0.12,0.0105,57421,4999,,33197,1634
"1998","56","WY","Wyoming",0.114,0.01,54286,4806,477428,35868,1750
"1999","56","WY","Wyoming",0.112,0.0095,54214,4520,483116,37480,1348
"2000","56","WY","Wyoming",0.104,0.0065,50357,3308,482249,38934,1836
"2001","56","WY","Wyoming",0.105,0.007,51201,3538,487077,39988,1527
"2002","56","WY","Wyoming",0.106,0.008,52045,3777,491749,39772,1782
"2003","56","WY","Wyoming",0.108,0.0075,53279,3721,495253,41554,1547
"2004","56","WY","Wyoming",0.103,0.009,51301,4568,498075,43785,1538
"2005","56","WY","Wyoming",0.106,0.005,52275,2516,492909,45501,1152
"2006","56","WY","Wyoming",0.103,0.005,51728,2493,499934,47819,1128
"2007","56","WY","Wyoming",0.095,0.0055,48149,2714,508841,52433,1110
"2008","56","WY","Wyoming",0.095,0.0055,49465,2703,518362,54735,1675
"2009","56","WY","Wyoming",0.102,0.006,53974,3166,529948,54400,1415
"2010","56","WY","Wyoming",0.114,0.006,62636,3494,551132,53757,1317
"2011","56","WY","Wyoming",0.113,0.006,62801,3327,554317,56044,1448
"2012","56","WY","Wyoming",0.119,0.007,66879,3694,561478,55104,1250
"2013","56","WY","Wyoming",0.109,0.007,62118,3777,569330,58424,1478
"2014","56","WY","Wyoming",0.112,0.006,63860,3596,570142,58291,1590
"2015","56","WY","Wyoming",0.106,0.007,60787,4078,572327,61213,1445
"2016","56","WY","Wyoming",0.109,0.007,62416,3788,571196,61686,1804
"2017","56","WY","Wyoming",0.108,0.006,61319,3641,565272,61279,1519
"2018","56","WY","Wyoming",0.107,0.007,60097,4026,563345,62259,1290
"2019","56","WY","Wyoming",0.099,0.007,55776,3779,563539,66152,1891
"2020","56","WY","Wyoming",0.092,0.006,52418,3411,568302,67284,2086
"2021","56","WY","Wyoming",0.106,0.007,60226,3699,565737,66508,2431
